"","cluster","X","class","species","mean_NMI","AltRange","Rough","Remot","RecInsul","DistNatAlien","PD","BodyMass","NatRangeSize","ED.Alien","mean.HII","Residence.time"
"78","Phasianus versicolor_United Kingdom",109,"Aves","Phasianus versicolor",-0.574,3644,194.26,174128.41,"Island",8807.125119,5018.764,918.8,290222.5956,0.593153351,28.6666666666667,1750
"79","Phasianus versicolor_United States",105,"Aves","Phasianus versicolor",-0.804,3644,194.26,174128.41,"Continent",7945.449132,5712.267,918.8,290222.5956,0.67678651,40,1882
"80","Phelsuma grandis_Mauritius",16,"Reptilia","Phelsuma grandis",-0.526,1857,197.72,798809.1,"Island",874.3745536,1247.994,30.1,9284.81621,0.184107036,37.4444444444444,NA
"81","Phelsuma grandis_Reunion",61,"Reptilia","Phelsuma grandis",-0.873,1857,197.72,798809.1,"Island",688.19964,814.269,30.1,9284.81621,0.232001926,37.6774193548387,NA
"82","Phelsuma grandis_United States",1,"Reptilia","Phelsuma grandis",-2.974,1857,197.72,798809.1,"Continent",14461.71999,1704.559,30.1,9284.81621,0.067985834,42.9,NA
"83","Phelsuma laticauda_Comoros",23,"Reptilia","Phelsuma laticauda",0.198,1859,156.09,391995.29,"Island",398.607558,1331.482,5.8,39735.59585,0.06618767,26.25,2003
"84","Phelsuma laticauda_United States_HW",58,"Reptilia","Phelsuma laticauda",-2.457,1859,156.09,391995.29,"Island",16741.57843,774.75,5.8,39735.59585,0.268828374,33.2423469387755,1974
"85","Podarcis pityusensis_Spain",67,"Reptilia","Podarcis pityusensis",-3.509,348,97.95,83956.95,"Continent",104.252653,738.626,12.7,661.0223297,0.251887045,38,1982
"86","Serinus canaria_Australia",3,"Aves","Serinus canaria",-1.463723621,3470,289.26,96368.76,"Continent",15192.80427,7860.418,24.3,10555.56287,0.246637233,49.7142857142857,1861
"87","Serinus canaria_Belgium",54,"Aves","Serinus canaria",-1.724243883,3470,289.26,96368.76,"Continent",2507.255416,5155.604,24.3,10555.56287,0.571519309,42.8,1966
"88","Serinus canaria_Canada",101,"Aves","Serinus canaria",-2.387464488,3470,289.26,96368.76,"Continent",3002.402185,4718.093,24.3,10555.56287,0.686317738,53,NA
"89","Serinus canaria_England",34,"Aves","Serinus canaria",-1.830324969,3470,289.26,96368.76,"Island",2175.939029,4704.22,24.3,10555.56287,0.770519567,30.3152173913043,2011
"90","Serinus canaria_Germany",53,"Aves","Serinus canaria",-1.584801568,3470,289.26,96368.76,"Continent",2598.706339,5045.023,24.3,10555.56287,0.687772521,31.9604519774011,NA
